lemma,POS,freq,ipm
ул,prn,2121224,"18286,41379"
һәм,cnjcoo,1629001,"14043,11207"
бул,v,1506686,"12988,67241"
ди,v,1281620,"11048,44828"
белән,post,861789,"7429,215517"
ел,n,835974,"7206,672414"
шул,prn,604401,"5210,353448"
бу,det,569143,"4906,405172"
бу,prn,547100,"4716,37931"
үз,prn,512346,"4416,775862"
өчен,post,510618,"4401,87931"
да,cnjcoo,507708,"4376,793103"
ал,v,490566,"4229,017241"
без,prn,483313,"4166,491379"
кеше,n,477624,"4117,448276"
мин,prn,466901,"4025,008621"
эш,n,445549,"3840,939655"
ит,v,418196,"3605,137931"
көн,n,415007,"3577,646552"
татар,n,397230,"3424,396552"
белән,cnjcoo,386556,"3332,37931"
эшлә,v,386384,"3330,896552"
бир,v,384401,"3313,801724"
кил,v,373792,"3222,344828"
авыл,n,365389,"3149,905172"
район,n,353153,"3044,422414"
бала,n,349279,"3011,025862"
халык,n,345860,"2981,551724"
буенча,post,341632,"2945,103448"
әле,adv,331036,"2853,758621"
ә,cnjcoo,330014,"2844,948276"
республика,n,313759,"2704,818966"
ал,vaux,307000,"2646,551724"
вакыт,n,295274,"2545,465517"
бар,v,292759,"2523,784483"
күп,adj,292207,"2519,025862"
әйт,v,289822,"2498,465517"
бик,adv,286565,"2470,387931"
инде,adv,284952,"2456,482759"
баш,n,276758,"2385,844828"
күр,v,274342,"2365,017241"
кара,v,272321,"2347,594828"
үз,det,267550,"2306,465517"
сүз,n,265805,"2291,422414"
бүген,adv,260362,"2244,5"
уз,v,257628,"2220,931034"
яңа,adj,253896,"2188,758621"
шәһәр,n,253069,"2181,62931"
бар,adj,247957,"2137,560345"
урын,n,239345,"2063,318966"
зур,adj,236906,"2042,293103"
хезмәт,n,229561,"1978,974138"
мәктәп,n,222518,"1918,258621"
кирәк,adj,222250,"1915,948276"
куй,v,220046,"1896,948276"
юл,n,218662,"1885,017241"
үт,v,217116,"1871,689655"
ара,n,211491,"1823,198276"
кер,v,204853,"1765,974138"
чык,v,200715,"1730,301724"
тел,n,199604,"1720,724138"
тор,vaux,198063,"1707,439655"
иң,adv,192694,"1661,155172"
турында,post,192337,"1658,077586"
укы,v,183909,"1585,422414"
юк,adj,182530,"1573,534483"
тор,v,181471,"1564,405172"
түгел,cnjcoo,180498,"1556,017241"
кыз,n,178768,"1541,103448"
яшь,n,172269,"1485,077586"
кайт,v,169566,"1461,775862"
яшә,v,169127,"1457,991379"
син,prn,168406,"1451,775862"
күрсәт,v,167831,"1446,818966"
хәзер,adv,167348,"1442,655172"
бел,v,167223,"1441,577586"
и,v,160944,"1387,448276"
җир,n,160449,"1383,181034"
яса,v,158638,"1367,568966"
йорт,n,156805,"1351,767241"
кебек,post,153508,"1323,344828"
президент,n,152909,"1318,181034"
дөнья,n,152761,"1316,905172"
як,n,152056,"1310,827586"
дәүләт,n,151152,"1303,034483"
башла,vaux,151147,"1302,991379"
чара,n,150826,"1300,224138"
яз,v,148863,"1283,301724"
башла,v,145468,"1254,034483"
тиеш,adj,140532,"1211,482759"
ил,n,140463,"1210,887931"
тормыш,n,139635,"1203,75"
кадәр,post,138812,"1196,655172"
катнаш,v,138646,"1195,224138"
төрле,adj,138642,"1195,189655"
хәл,n,138297,"1192,215517"
тагын,adv,136902,"1180,189655"
җитәкче,n,136600,"1177,586207"
кал,v,136348,"1175,413793"
акча,n,135890,"1171,465517"
кит,vaux,134094,"1155,982759"
тап,v,133624,"1151,931034"
тот,v,131759,"1135,853448"
барлык,n,130845,"1127,974138"
сез,prn,130185,"1122,284483"
кит,v,130074,"1121,327586"
кул,n,129787,"1118,853448"
күз,n,128140,"1104,655172"
җит,v,127240,"1096,896552"
сум,n,127195,"1096,508621"
гына,cnjadv,126835,"1093,405172"
туган,n,126756,"1092,724138"
әмма,cnjcoo,124618,"1074,293103"
укучы,n,124551,"1073,715517"
үткәр,v,124544,"1073,655172"
ни,prn,124501,"1073,284483"
хуҗалык,n,124162,"1070,362069"
телә,v,124063,"1069,508621"
чыгар,v,123813,"1067,353448"
мәсьәлә,n,123705,"1066,422414"
өлкә,n,122824,"1058,827586"
күңел,n,121383,"1046,405172"
берсе,prn,121351,"1046,12931"
оештыр,v,121190,"1044,741379"
билгелә,v,120521,"1038,974138"
соң,adv,120146,"1035,741379"
сал,v,120084,"1035,206897"
гаилә,n,119946,"1034,017241"
шулай ук,cnjcoo,118750,"1023,706897"
үзәк,n,118488,"1021,448276"
исем,n,117780,"1015,344828"
соң,post,117637,"1014,112069"
кил,vaux,117337,"1011,525862"
сөйлә,v,116376,"1003,241379"
совет,n,116349,"1003,008621"
белдер,v,114619,"988,0948276"
нәтиҗә,n,114472,"986,8275862"
ач,v,113301,"976,7327586"
уйла,v,112894,"973,2241379"
алд,n,112751,"971,9913793"
бәйрәм,n,111828,"964,0344828"
керт,v,111545,"961,5948276"
җый,v,108673,"936,8362069"
егет,n,106631,"919,2327586"
ул,n,106612,"919,0689655"
кал,vaux,105502,"909,5"
һәр,det,105400,"908,6206897"
башлык,n,104948,"904,7241379"
милли,adj,103563,"892,7844828"
югары,adj,102791,"886,1293103"
мөмкин,adj,102407,"882,8189655"
су,n,101989,"879,2155172"
нәрсә,prn,101096,"871,5172414"
ярдәм,n,101059,"871,1982759"
йөр,v,100769,"868,6982759"
таны,v,100672,"867,862069"
кем,prn,100422,"865,7068966"
көт,v,100017,"862,2155172"
сан,n,99783,"860,1982759"
белем,n,99542,"858,1206897"
яшь,adj,98958,"853,0862069"
китап,n,98839,"852,0603448"
ай,n,97841,"843,4568966"
ләкин,cnjcoo,97316,"838,9310345"
артык,adj,96538,"832,2241379"
быел,adv,95110,"819,9137931"
җибәр,v,95041,"819,3189655"
ян,n,94683,"816,2327586"
төш,v,94321,"813,112069"
оешма,n,94192,812
хак,n,93848,"809,0344828"
нинди,prn,92971,"801,4741379"
бул,vaux,92801,"800,0086207"
мен,v,92384,"796,4137931"
министр,n,92074,"793,7413793"
спорт,n,91499,"788,7844828"
китер,v,91018,"784,637931"
бүлек,n,90522,"780,362069"
чөнки,cnjsub,89089,"768,0086207"
ис,n,88921,"766,5603448"
процент,n,88717,"764,8017241"
әзерлә,v,88678,"764,4655172"
сакла,v,88619,"763,9568966"
мәдәният,n,88616,"763,9310345"
ничек,adv,88571,"763,5431034"
укытучы,n,88530,"763,1896552"
төбәк,n,88338,"761,5344828"
программа,n,87463,"753,9913793"
күтәр,v,86559,"746,1982759"
министрлык,n,86515,"745,8189655"
иҗат,n,86273,"743,7327586"
эч,n,85100,"733,6206897"
башкар,v,84924,"732,1034483"
проект,n,84807,"731,0948276"
шушы,det,84485,"728,3189655"
театр,n,84409,"727,6637931"
мәгълүмат,n,84363,"727,2672414"
өлеш,n,83927,"723,5086207"
әни,n,83670,"721,2931034"
дәүләт,adj,83225,"717,4568966"
чыгыш,n,82052,"707,3448276"
фикер,n,82024,"707,1034483"
өй,n,81920,"706,2068966"
тарих,n,81164,"699,6896552"
закон,n,80942,"697,7758621"
хезмәткәр,n,80195,"691,3362069"
ярат,v,80088,"690,4137931"
яхшы,adj,80071,"690,2672414"
рәвеш,n,79643,"686,5775862"
аша,v,79049,"681,4568966"
әсәр,n,78778,"679,1206897"
дәрәҗә,n,78349,"675,4224138"
кабул ит,v,77982,"672,2586207"
җыр,n,77137,"664,9741379"
тикшер,v,77125,"664,8706897"
мөмкинлек,n,76217,"657,0431034"
вәкил,n,75900,"654,3103448"
урыс,n,75615,"651,8534483"
идарә,n,75553,"651,3189655"
сана,v,74308,"640,5862069"
көч,n,74090,"638,7068966"
баш,adj,73426,"632,9827586"
тәмамла,v,73137,"630,4913793"
алып бар,v,72792,"627,5172414"
дин,n,72563,"625,5431034"
тапшыр,v,72451,"624,5775862"
бөтен,det,72375,"623,9224138"
хатын,n,72372,"623,8965517"
бас,v,72244,"622,7931034"
мөселман,n,71927,"620,0603448"
машина,n,71877,"619,6293103"
өст,n,71842,"619,3275862"
каршы,adj,71565,"616,9396552"
аңла,v,71483,"616,2327586"
фән,n,71300,"614,6551724"
арт,v,71164,"613,4827586"
чор,n,70670,"609,2241379"
гамәл,n,70606,"608,6724138"
тәкъдим ит,v,70575,"608,4051724"
өйрән,v,70431,"607,1637931"
урынбасар,n,69983,"603,3017241"
тараф,n,69982,"603,2931034"
мәчет,n,69942,"602,9482759"
тур,n,69741,"601,2155172"
комитет,n,69482,"598,9827586"
сугыш,n,69448,"598,6896552"
матур,adj,69367,"597,9913793"
максат,n,69114,"595,8103448"
урам,n,68888,"593,862069"
рәис,n,68724,"592,4482759"
директор,n,68531,"590,7844828"
социаль,adj,68383,"589,5086207"
тапкыр,adj,68201,"587,9396552"
сәгать,n,68083,"586,9224138"
түлә,v,68082,"586,9137931"
чын,adj,67937,"585,6637931"
берничә,det,67828,"584,7241379"
исәп,n,67693,"583,5603448"
ту,v,67629,"583,0086207"
шигырь,n,67045,"577,9741379"
сора,v,66917,"576,8706897"
федераль,adj,66823,"576,0603448"
тик,cnjcoo,66768,"575,5862069"
тырыш,v,66355,"572,0258621"
очрашу,n,66346,"571,9482759"
очрак,n,66149,"570,25"
мәгариф,n,66014,"569,0862069"
хәбәр ит,v,65996,"568,9310345"
төз,v,65902,"568,1206897"
чык,vaux,65746,"566,7758621"
яки,cnjcoo,65582,"565,362069"
туры кил,v,65470,"564,3965517"
үсеш,n,65352,"563,3793103"
бер,det,65212,"562,1724138"
сорау,n,65176,"561,862069"
чакыр,v,64996,"560,3103448"
буларак,post,64955,"559,9568966"
чак,n,64788,"558,5172414"
калган,n,64687,"557,6465517"
газета,n,64477,"555,8362069"
уздыр,v,64411,"555,2672414"
күләм,n,64359,"554,8189655"
шагыйрь,n,64273,"554,0775862"
гомер,n,63899,"550,8534483"
сат,v,63512,"547,5172414"
ир,n,63478,"547,2241379"
әти,n,63290,"545,6034483"
үс,v,62319,"537,2327586"
әллә,cnjcoo,62250,"536,637931"
утыр,v,62214,"536,3275862"
багышла,v,62192,"536,137931"
эшчәнлек,n,62119,"535,5086207"
арт,n,62076,"535,137931"
команда,n,62044,"534,862069"
йөр,vaux,61567,"530,75"
хокук,n,61551,"530,612069"
төзелеш,n,61522,"530,362069"
сәнгать,n,61352,"528,8965517"
саклау,n,61122,"526,9137931"
апа,n,60828,"524,3793103"
әдәбият,n,60809,"524,2155172"
нигез,n,60795,"524,0948276"
кунак,n,60526,"521,7758621"
муниципаль,adj,60288,"519,7241379"
биредә,adv,60262,"519,5"
калдыр,v,60152,"518,5517241"
проблема,n,60111,"518,1982759"
соң,adj,59789,"515,4224138"
төркем,n,59545,"513,3189655"
куш,v,59497,"512,9051724"
дәвам ит,v,59404,"512,1034483"
аерым,adj,59081,"509,3189655"
сәбәп,n,58851,"507,3362069"
якын,adj,58815,"507,0258621"
утырыш,n,58788,"506,7931034"
белгеч,n,58676,"505,8275862"
саен,post,58617,"505,3189655"
буе,post,58588,"505,0689655"
хөкүмәт,n,58355,"503,0603448"
абый,n,58213,"501,8362069"
милләт,n,57775,"498,0603448"
