rank (for POS),lemma,POS,ipm,freq,% of concordance
1,ул,prn,"13390,39263",1757519,"40,65128"
1,һәм,cnjcoo,"12175,91429",1598116,"43,85363"
1,бул,v,"5518,283048",724287,"7,24287"
2,шул,prn,"4043,39772",530705,"12,27517"
2,ди,v,"3809,565518",500014,"5,00014"
3,үз,prn,"3320,08053",435768,"10,07928"
4,бу,prn,"2947,27165",386836,"8,94749"
2,да,cnjcoo,"2805,87216",368277,"10,10583"
5,мин,prn,"2766,89377",363161,"8,39989"
3,ал,v,"2491,759417",327049,"3,27049"
3,ә,cnjcoo,"2238,05708",293750,"8,06074"
4,белән,cnjcoo,"2207,90902",289793,"7,95216"
1,бик,adv,"1954,63334",256550,"9,01109"
2,бүген,adv,"1900,27998",249416,"8,76051"
3,инде,adv,"1815,37476",238272,"8,36909"
4,кил,v,"1638,120639",215007,"2,15007"
4,иң,adv,"1379,70219",181089,"6,36059"
5,бир,v,"1376,349865",180649,"1,80649"
6,ит,v,"1366,551936",179363,"1,79363"
1,ел,n,"1332,632515",174911,"1,74911"
7,эшлә,v,"1265,517469",166102,"1,66102"
8,тор,v,"1244,047359",163284,"1,63284"
5,түгел,cnjcoo,"1212,46694",159139,"4,36691"
5,хәзер,adv,"1177,00088",154484,"5,42611"
2,бу,n,"1172,140013",153846,"1,53846"
6,әле,adv,"992,79069",130306,"4,57688"
9,кара,v,"964,0064195",126528,"1,26528"
10,бар,v,"946,6657628",124252,"1,24252"
11,башла,v,"944,4105631",123956,"1,23956"
6,шулай ук,cnjcoo,"939,31351",123287,"3,3831"
7,тагын,adv,"901,27225",118294,"4,15497"
12,күр,v,"883,1849404",115920,"1,1592"
13,чык,v,"876,9755225",115105,"1,15105"
14,әйт,v,"875,5584038",114919,"1,14919"
7,әмма,cnjcoo,"846,63699",111123,"3,04931"
15,кит,v,"844,1379872",110795,"1,10795"
8,соң,adv,"837,68476",109948,"3,86182"
6,син,prn,"826,79733",108519,"2,51004"
16,кал,v,"784,4818616",102965,"1,02965"
3,кеше,n,"767,1183481",100686,"1,00686"
7,берсе,prn,"759,69752",99712,"2,30633"
8,ни,prn,"759,24039",99652,"2,30494"
17,үт,v,"727,5685463",95495,"0,95495"
18,укы,v,"718,4106072",94293,"0,94293"
9,быел,adv,"718,39537",94291,"3,31189"
4,татар,n,"713,7249728",93678,"0,93678"
5,эш,n,"711,8126245",93427,"0,93427"
6,көн,n,"695,9805135",91349,"0,91349"
19,бел,v,"694,357684",91136,"0,91136"
20,уз,v,"683,0435912",89651,"0,89651"
21,куй,v,"676,582749",88803,"0,88803"
22,яз,v,"676,308468",88767,"0,88767"
23,и,v,"647,234678",84951,"0,84951"
24,кер,v,"646,221362",84818,"0,84818"
7,бала,n,"626,8921677",82281,"0,82281"
8,чөнки,cnjcoo,"624,06555",81910,"2,24768"
9,ләкин,cnjcoo,"623,83698",81880,"2,24685"
8,авыл,n,"615,014275",80722,"0,80722"
9,кем,prn,"612,14956",80346,"1,8584"
10,нәрсә,prn,"606,90775",79658,"1,84248"
25,кайт,v,"590,4889789",77503,"0,77503"
9,халык,n,"590,016606",77441,"0,77441"
11,нинди,prn,"582,77863",76491,"1,76923"
26,яшә,v,"575,578757",75546,"0,75546"
27,күрсәт,v,"561,0723377",73642,"0,73642"
10,без,n,"560,7751999",73603,"0,73603"
10,ничек,adv,"557,19431",73133,"2,56873"
11,район,n,"552,714385",72545,"0,72545"
28,йөр,v,"545,5068888",71599,"0,71599"
12,сүз,n,"511,137951",67088,"0,67088"
29,яса,v,"509,4313135",66864,"0,66864"
13,баш,n,"487,1231224",63936,"0,63936"
12,сез,prn,"482,50606",63330,"1,46482"
10,яки,cnjcoo,"480,55562",63074,"1,7308"
14,Казан,n,"474,0414407",62219,"0,62219"
15,Татарстан,n,"472,8300328",62060,"0,6206"
16,вакыт,n,"471,7633843",61920,"0,6192"
30,тап,v,"434,3164038",57005,"0,57005"
17,тел,n,"432,2212014",56730,"0,5673"
11,тик,cnjcoo,"431,59645",56648,"1,55447"
18,мәктәп,n,"427,5736616",56120,"0,5612"
31,тот,v,"421,2956734",55296,"0,55296"
32,катнаш,v,"415,0176853",54472,"0,54472"
33,телә,v,"409,7453942",53780,"0,5378"
34,үткәр,v,"407,3149595",53461,"0,53461"
35,җит,v,"399,9855606",52499,"0,52499"
36,сал,v,"394,4237507",51769,"0,51769"
19,урын,n,"392,3971186",51503,"0,51503"
37,сөйлә,v,"390,7133378",51282,"0,51282"
20,юл,n,"382,5534769",50211,"0,50211"
38,оештыр,v,"371,62033",48776,"0,48776"
39,уйла,v,"369,8832168",48548,"0,48548"
40,чыгар,v,"360,8167047",47358,"0,47358"
21,шәһәр,n,"359,3538725",47166,"0,47166"
22,кыз,n,"355,0720408",46604,"0,46604"
23,хезмәт,n,"351,529244",46139,"0,46139"
41,билгелә,v,"350,5235469",46007,"0,46007"
12,шуңа күрә,cnjcoo,"348,11597",45691,"1,2538"
42,ач,v,"344,6188857",45232,"0,45232"
11,әллә,adv,"343,89509",45137,"1,5854"
24,республика,n,"340,695143",44717,"0,44717"
12,хәтта,adv,"339,23231",44525,"1,5639"
