lemma,POS,ipm,freq
һәм,cnjcoo,"15745,52579",389749
ди,v,"11825,79889",292724
белән,cnjcoo,"11025,97665",272926
ул,prn,"9496,788268",235074
да,cnjcoo,"9301,822001",230248
ит,vaux,"9176,827051",227154
бул,vaux,"9097,402335",225188
бу,det,"7925,180786",196172
ел,n,"7612,289419",188427
дә,adv,"6327,475458",156624
ул,det,"5889,185149",145775
өчен,post,"5612,531814",138927
татар,n,"5232,901062",129530
ал,vaux,"4509,473599",111623
кил,vaux,"4492,182766",111195
шул,prn,"4292,610997",106255
кеше,n,"4262,028845",105498
буенча,post,"4212,2571",104266
эш,n,"4182,442532",103528
казан,n,"4179,978184",103467
ит,v,"3832,54555",94867
тор,vaux,"3693,289702",91420
и,cop,"3664,283117",90702
без,n,"3578,75813",88585
халык,n,"3523,734497",87223
эшлә,v,"3506,282067",86791
көн,n,"3429,200501",84883
бүген,adv,"3298,832465",81656
республика,n,"3244,576415",80313
бу,prn,"3188,502404",78925
бермә,det,"3187,25003",78894
бул,v,"3175,251485",78597
ук,cnjadv,"3118,167495",77184
үз,prn,"2974,669737",73632
район,n,"2855,65386",70686
вакыт,n,"2839,534602",70287
бир,vaux,"2830,444795",70062
гына,postadv,"2771,462045",68602
турында,post,"2649,860623",65592
шәһәр,n,"2644,689533",65464
бар,v,"2560,780511",63387
бала,n,"2542,600897",62937
хезмәт,n,"2538,076193",62825
ә,cnjcoo,"2532,258716",62681
алар,prn,"2415,949582",59802
үз,det,"2355,108472",58296
зур,adj,"2346,261059",58077
хәбәр,n,"2333,616127",57764
әлеге,adj,"2295,560134",56822
яңа,adj,"2274,269785",56295
ил,n,"2248,373934",55654
бер,num,"2239,526522",55435
белдер,v,"2235,244213",55329
урын,n,"2233,911041",55296
авыл,n,"2204,783259",54575
дәүләт,adj,"2166,767665",53634
чык,vaux,"2160,667394",53483
тел,n,"2150,729205",53237
ара,n,"2122,288207",52533
чара,n,"2108,5121",52192
күп,adj,"2100,95746",52005
шул,det,"2095,584374",51872
бар,adj,"2092,190846",51788
түгел,cnjcoo,"2065,648608",51131
президент,n,"2063,911445",51088
русия,n,"2001,777562",49550
әйт,v,"1989,13263",49237
россия,n,"1986,143094",49163
бик,adv,"1968,933059",48737
алып,n,"1948,1275",48222
юл,n,"1946,551933",48183
ике,num,"1935,442169",47908
инде,adv,"1927,604735",47714
сүз,n,"1905,789197",47174
гына,cnjadv,"1853,351109",45876
башка,adj,"1789,076072",44285
иң,adv,"1771,987234",43862
хәзер,adv,"1720,680322",42592
кирәк,adj,"1697,774007",42025
мең,num,"1652,80976",40912
ярдәм,n,"1625,499939",40236
да,postadv,"1601,664445",39646
узган,adj,"1592,130247",39410
үт,v,"1590,231487",39363
катнаш,v,"1588,21153",39313
йорт,n,"1575,526199",38999
мәктәп,n,"1568,900739",38835
соң,adj,"1544,701652",38236
билгелә,v,"1543,126086",38197
башла,vaux,"1540,904133",38142
оештыр,v,"1538,560983",38084
елга,n,"1535,329051",38004
өлкә,n,"1533,430291",37957
кара,vaux,"1528,622793",37838
кадәр,post,"1522,15893",37678
хәл,n,"1517,43223",37561
тиеш,adj,"1475,255525",36517
күрсәт,v,"1470,650022",36403
яшь,n,"1436,31075",35553
мәсьәлә,n,"1405,6478",34794
тәкъдим,n,"1403,223852",34734
җитәкче,n,"1393,770452",34500
уз,v,"1393,245263",34487
яса,v,"1385,125035",34286
булды,ij,"1363,551893",33752
милли,adj,"1362,703511",33731
башлык,n,"1353,29051",33498
куй,v,"1338,302428",33127
нәтиҗә,n,"1329,091423",32899
укы,v,"1324,122329",32776
юк,adj,"1312,002586",32476
каршы,adj,"1292,93419",32004
вәкил,n,"1287,157112",31861
кабул,n,"1283,884782",31780
кит,vaux,"1282,834404",31754
мин,prn,"1271,280249",31468
югары,adj,"1246,67717",30859
төбәк,n,"1246,273179",30849
исем,n,"1239,768917",30688
оешма,n,"1232,497071",30508
үзәк,n,"1229,911526",30444
ал,n,"1213,832667",30046
министр,n,"1200,743344",29722
акча,n,"1193,592696",29545
бәйрәм,n,"1183,49291",29295
төрле,adj,"1174,605098",29075
сөйлә,v,"1171,615562",29001
министрлык,n,"1164,424514",28823
әмма,cnjcoo,"1161,273381",28745
идарә,n,"1157,758656",28658
яшә,v,"1151,213994",28496
дәвам,n,"1149,678827",28458
үткәр,v,"1145,921706",28365
ис,v,"1138,851856",28190
мәгълүмат,n,"1126,004929",27872
як,n,"1124,833354",27843
сан,n,"1122,247808",27779
кер,v,"1121,197431",27753
артык,adj,"1114,491173",27587
процент,n,"1112,148022",27529
кал,vaux,"1103,866198",27324
күр,v,"1093,604816",27070
тагын,adv,"1087,948935",26930
тот,v,"1072,395265",26545
чыгар,v,"1064,517432",26350
дөнья,n,"1053,852058",26086
сум,n,"1051,185715",26020
караганда,post,"1050,175736",25995
быел,adv,"1049,286955",25973
шушы,det,"1018,179615",25203
ал,v,"1015,028481",25125
программа,n,"1010,422979",25011
ала,adj,"1005,17109",24881
чыгыш,n,"989,9810124",24505
керт,v,"982,3859734",24317
әле,adv,"961,1764231",23792
яхшы,adj,"956,8941138",23686
ач,v,"956,1265301",23667
очра,v,"953,9449764",23613
тормыш,n,"947,6831091",23458
фикер,n,"944,9359674",23390
хуҗалык,n,"938,3913061",23228
проект,n,"937,4621258",23205
барлык,det,"928,0491254",22972
кебек,post,"927,7259322",22964
нигез,n,"927,6855331",22963
сайла,v,"923,6860179",22864
хак,n,"919,4037086",22758
совет,n,"918,1917343",22728
җир,n,"912,455056",22586
якын,adj,"912,3742577",22584
тикшер,v,"911,7278714",22568
бир,v,"906,1527896",22430
икенче,adj,"904,6580212",22393
соңгы,adj,"901,9108795",22325
мөмкин,adj,"896,8609865",22200
хакимият,n,"886,2360118",21937
туры,adj,"884,9836383",21906
матбугат,n,"880,7821274",21802
тараф,n,"867,6524058",21477
менә,adv,"866,4000323",21446
икән,n,"863,0873025",21364
яз,vaux,"862,4005171",21347
мөмкинлек,n,"861,8349291",21333
белем,n,"857,6738173",21230
төп,adj,"856,7042379",21206
берсе,prn,"838,8882156",20765
өч,num,"833,1919363",20624
хезмәткәр,n,"827,4552579",20482
сана,v,"824,384923",20406
федераль,adj,"823,0517513",20373
хөкүмәт,n,"821,3549873",20331
тыш,n,"819,577425",20287
төз,v,"819,4966267",20285
рәис,n,"812,9115663",20122
өлеш,n,"807,3364845",19984
әзерлә,v,"807,1344887",19979
ай,n,"804,5085444",19914
урнаш,v,"803,5793641",19891
сез,prn,"799,0142609",19778
бүлек,n,"797,9638832",19752
гамәл,n,"797,4386943",19739
спорт,n,"791,8232133",19600
булса,phrase,"788,348887",19514
мәдәният,n,"786,8541187",19477
дәрәҗә,n,"781,6830283",19349
бел,vaux,"778,7338908",19276
башкар,v,"772,876015",19131
туган,adj,"770,2500707",19066
мөселман,n,"763,9882035",18911
чөнки,cnjsub,"759,9482891",18811
сакла,v,"758,4131216",18773
гаилә,n,"757,2011473",18743
тапшыр,v,"757,0799499",18740
үсеш,n,"754,009615",18664
бит,n,"750,8988809",18587
арт,v,"747,2225589",18496
тапкыр,adj,"746,0913829",18468
шу,n,"743,1018462",18394
баш,adj,"742,4554599",18378
җый,v,"740,1527088",18321
ләкин,cnjcoo,"738,253949",18274
кул,n,"737,8095584",18263
рәвеш,n,"734,577627",18183
утырыш,n,"731,4264938",18105
исәп,n,"729,4065366",18055
максат,n,"721,649901",17863
яшь,adj,"719,3067507",17805
китап,n,"717,8119824",17768
күләм,n,"717,7715832",17767
укучы,n,"714,7012483",17691
буларак,post,"713,3276775",17657
телә,v,"710,9037288",17597
мәчет,n,"705,1266513",17454
тап,v,"704,8842565",17448
комитет,n,"704,0358744",17427
халыкара,adj,"699,3091746",17310
тарих,n,"696,7236295",17246
хокук,n,"696,6428312",17244
күрә,post,"696,3600372",17237
китер,v,"695,75405",17222
бәйле,adj,"691,1889468",17109
бәйге,n,"689,4113845",17065
сора,v,"689,2093888",17060
түбән,adj,"688,6438008",17046
театр,n,"685,1290753",16959
багышла,v,"681,5739506",16871
берничә,det,"678,2612209",16789
махсус,adj,"677,6956329",16775
башла,v,"670,0601947",16586
төркем,n,"669,4138084",16570
эшчәнлек,n,"668,9290187",16558
дин,n,"664,8891044",16458
урам,n,"663,67713",16428
һәр,det,"663,5963318",16426
саклау,n,"661,4955763",16374
урынбасар,n,"658,2636448",16294
биредә,adv,"656,2436876",16244
игътибар,n,"655,1933099",16218
көт,v,"654,5873227",16203
проблема,n,"654,4257262",16199
җит,v,"648,2042581",16045
элек,adj,"647,1134812",16018
милләт,n,"640,6092191",15857
җитәкчелек,n,"640,0436311",15843
—,guio,"639,5184422",15830
хәрби,adj,"638,9528542",15816
билгеле,adj,"637,9832748",15792
очрак,n,"629,903446",15592
белгеч,n,"629,1358623",15573
сат,v,"626,6311154",15511
муниципаль,adj,"618,4704884",15309
мәгариф,n,"618,3896901",15307
тик,adv,"618,349291",15306
аерым,adj,"617,6221064",15288
эч,n,"617,5817073",15287
чит,adj,"613,8245869",15194
чакыр,v,"612,8954066",15171
төзелеш,n,"612,8550075",15170
барлык,n,"611,2390417",15130
ата,v,"606,2699471",15007
йөр,vaux,"604,8963762",14973
берлек,n,"604,7347796",14969
кайбер,det,"602,3512302",14910
миллион,num,"601,1392558",14880
предприятие,n,"598,6749081",14819
ислам,n,"597,0589424",14779
көч,n,"594,3925989",14713
ис,n,"591,3626631",14638
социаль,adj,"588,8175171",14575
закон,n,"588,3731265",14564
киләчәк,n,"583,1212378",14434
шундыйлардан,prn,"583,0000404",14431
куллан,v,"580,6164909",14372
тәшкил,n,"580,0913021",14359
аша,v,"578,4753363",14319
иҗат,n,"575,0414091",14234
яки,cnjcoo,"573,7890357",14203
кыз,n,"571,8498768",14155
таләп,n,"569,6279239",14100
күз,n,"566,557589",14024
җибәр,v,"563,6488506",13952
кайт,v,"562,5176746",13924
журналист,n,"557,9929705",13812
башкала,n,"556,7405971",13781
бөтен,adj,"555,8922151",13760
бары,prn,"555,6498202",13754
машина,n,"554,8418374",13734
команда,n,"551,9734982",13663
мөрәҗәгать,n,"550,7615239",13633
сәгать,n,"550,3575324",13623
бина,n,"548,0547812",13566
күтәр,v,"547,8931847",13562
тәмамла,v,"546,8024078",13535
хакында,post,"540,09615",13369
ян,n,"540,0557508",13368
су,n,"538,0357936",13318
чор,n,"537,5914031",13307
студент,n,"536,5410253",13281
бурыч,n,"535,4098493",13253
таны,v,"533,4706904",13205
уйла,v,"529,0267846",13095
кала,n,"527,2896215",13052
рәсми,adj,"525,9564497",13019
катнашучы,n,"525,3100634",13003
юнәлеш,n,"517,5534279",12811
торак,adj,"511,9783461",12673
сәнгать,n,"511,412758",12659
фестиваль,n,"507,736436",12568
баш,n,"507,0092514",12550
система,n,"506,7264574",12543
университет,n,"503,0501353",12452
нинди,prn,"502,9693371",12450
булмаган,adj,"500,989779",12401
бүләк,n,"498,0810407",12329
сүзләренчә,cnjadv,"494,0007272",12228
эчке,adj,"493,7583323",12222
укытучы,n,"493,5563366",12217
компания,n,"492,7079546",12196
ашыр,v,"492,4655597",12190
рус,n,"492,1423666",12182
уен,n,"492,0615683",12180
мөһим,adj,"489,4760231",12116
җитештер,v,"488,6680402",12096
хезмәттәшлек,n,"485,8401002",12026
бәя,n,"482,2445764",11937
буе,post,"481,1134004",11909
ук,postadv,"480,5478124",11895
хәрәкәт,n,"479,8206278",11877
ничек,adv,"479,4570355",11868
бергә,adv,"477,1946835",11812
үзәк,adj,"475,1343272",11761
уфа,n,"474,8515331",11754
турындагы,adj,"470,4884256",11646
конкурс,n,"469,4784471",11621
ни,cnjcoo,"466,6101079",11550
мәйдан,n,"465,3173353",11518
ассызыкла,v,"465,2769361",11517
куш,v,"463,7417687",11479
җинаять,n,"456,9951117",11312
депутат,n,"456,3891246",11297
якла,v,"455,7831374",11282
директор,n,"453,9247768",11236
атна,n,"453,2783905",11220
газета,n,"451,6624248",11180
таба,n,"448,8748839",11111
урыс,n,"446,8549267",11061
өйрән,v,"444,6329738",11006
шарт,n,"443,7037935",10983
әгъза,n,"442,6130166",10956
кем,prn,"440,6334586",10907
кыса,n,"435,5431665",10781
кама,v,"435,3411708",10776
саен,post,"434,4523896",10754
нәрсә,prn,"434,0887973",10745
